5.882535965554679547e-04 2.345638738876283467e+08
1.764760789666403647e-03 7.788133851955242455e+07
2.941267982777339123e-03 4.654483144593723118e+07
4.117775175888275033e-03 3.311489984295929223e+07
5.294282368999211376e-03 2.565382673019377142e+07
6.470789562110145984e-03 2.090587111297935247e+07
7.647296755221082327e-03 3.516689149989481270e+07
8.823803948332018671e-03 1.514700048372397386e+07
1.000031114144295415e-02 1.331089111334638298e+07
1.117681833455389136e-02 1.186133108410091698e+07
1.235332552766482683e-02 1.068787772709267959e+07
1.352983272077576057e-02 9.718503214781533927e+06
1.470633991388669605e-02 1.777166291572148725e+07
1.588284710699763153e-02 8.176518479743036442e+06
1.705935430010856874e-02 7.580901400830720551e+06
1.823586149321950595e-02 7.062138138552251272e+06
1.941236868633043969e-02 6.606255271701474674e+06
2.058887587944137690e-02 6.202473303919360042e+06
2.176538307255231411e-02 1.165982584560653754e+07
2.294189026566324785e-02 5.495563862827289850e+06
2.411839745877418506e-02 5.205052007836419158e+06
2.529490465188512227e-02 4.941564511449351907e+06
2.647141184499605948e-02 4.701498125852245837e+06
2.764791903810698975e-02 4.481862922008085065e+06
2.882442623121792696e-02 4.280157122559364885e+06
3.000093342432886070e-02 8.170506333802049980e+06
3.117744061743979792e-02 3.905058943745200057e+06
3.235394781055073166e-02 3.746332103445900604e+06
3.353045500366166887e-02 3.598743988781638909e+06
3.470696219677260608e-02 3.461161847992920782e+06
3.588346938988354329e-02 3.332601486928053200e+06
3.705997658299448050e-02 6.409806451084272005e+06
3.823648377610541771e-02 3.085063318703045603e+06
3.941299096921634798e-02 2.979242647563087288e+06
4.058949816232728519e-02 2.879556508083416615e+06
4.176600535543822240e-02 2.785486489137812052e+06
4.294251254854915961e-02 2.696570991778268013e+06
4.411901974166009682e-02 5.212530530836185440e+06
4.529552693477103403e-02 2.520650745622081682e+06
4.647203412788196430e-02 2.445193026378850453e+06
4.764854132099290152e-02 2.373461614258741960e+06
4.882504851410383873e-02 2.305187137662494089e+06
5.000155570721477594e-02 2.240125577611952089e+06
5.117806290032571315e-02 2.178055353655687533e+06
5.235457009343665036e-02 4.227214118530072272e+06
5.353107728654758063e-02 2.051991656935511855e+06
5.470758447965851784e-02 1.997971854324306129e+06
5.588409167276944811e-02 1.946226569717783248e+06
5.706059886588038532e-02 1.896615111280601472e+06
5.823710605899132253e-02 1.849008156214618823e+06
